AcctID,URL,Description,Likes,Comments
34978146647,CGI9oIFHho2,New McDonald’s the J Balvin meal ........#asmr #asmrvideo #asmreating #asmrfood #food #asmrfoodmukbang #asmrfoodcommunity #mukbang #eatingsounds #cravings #eatingshow #letseat #asmrtingles #asmrsounds #satisfyingvideos #satisfying #mukbangenespañol #cheatmeal #crunchy #mcdonalds #thejbalvinmeal #jbalvinmeal🍔🍟🥤 #jbalvinmcdonalds #jbalvinmcdonaldsmeal,49,1
42150631794,CGI4Z8HnvZj,Todos hemos pasado por este mal momento 😂😂 @jbalvin....#jbalvin #colores #jbalvinmcdonalds #colombia #latinmusic #trap #trapmusic #latintrap #love #hiphop #instagood #fashion #party #dance #singer #artist #photooftheday #art #rap #musica,21,3
7206072070,CGILWnxhiqc,"¿Qué os parece la merch para la ""familia"" de McDonald's? 🔥 @mcdonalds x @jbalvin ❤️💛📸  McDonald's#PuroMerca 🧡",635,7
36363244129,CGIKfL1pps0,"🍔 J Balvin  healthy Mac Menu 🍦🍟.🇪🇸 Esta semana salió en Macdonal's el menú elaborado por el cantante J Balvin. Desgraciadamente, el menú solo está disponible en Estados Unidos. Razón por la cual hemos decidido reinterpretar el menú en su versión sana y low carb 😍.El menú se compone de un Big Mac 🍔, de patatas y de un helado de oreo..🎥 La receta del burguer está disponible en 3 video.1/ 🎥➡️ el pan 2/ 🎥➡️ la salsa y la carne3/ 🎥➡️ cómo montar la hamburguesa🙋🏽‍♂️ En la etapa del pan, hay que poner un poquito de aceite y untar los cuencos para que no se pegue la masa después del microondas..Podéis simplemente hacer la hamburguesa con ensalada o comer el menú completo..📈 Macros.🍔 Big Mac 480 kcal / P 65,5 / CH 14,5 / G 16,18 .🍟 Patatas  200 kcal / P 2,49 / CH 29,04 / G 8,60.🍦 Helado oreo   160 kcal / P 11,65 / CH 25 / G 1,8 .🇨🇵 Cette semaine, le menu préparé par le chanteur J Balvin @jbalvin est sorti chez Macdonal's. Malheureusement, le menu n'est disponible qu'aux États-Unis. C'est pourquoi nous avons décidé de réinterpréter le menu dans sa version saine et faible en glucides 😍.Le menu se compose d'un Big Mac 🍔, de pommes de terre et d'une glace à l'oreo..🎥 La recette du burger est disponible en 3 vidéo..1/🎥 ➡️ le pain burguer2/ 🎥➡️ la sauce et la viande3/ 🎥➡️ le montage🙋🏽‍♂️ À l'étape du pain, il faut mettre un peu d'huile et étaler dans les bols pour que la pâte ne colle pas après la cuisson au micro-ondes..Vous pouvez simplement faire le hamburger avec de la salade ou manger le menu complet..📈 Macros.🍔Big Mac   480 kcal / P 65,5 / G 14,5 / L 16,18 .🍟 Frites   200 kcal / P 2,49 / G 29,04 / L 8,60.🍦 Glaces oreo   160 kcal / P 11,65 / G 25 / L 1,8..🇬🇧This week the menu prepared by singer J Balvin came out at Macdonal's. Unfortunately the menu is only available in the United States. Which is why we have decided to reinterpret the menu in its healthy, low-carb version 😍.The menu consists of a Big Mac 🍔, potatoes and an oreo ice cream..🎥 The recipe for the burger is available on video.1/ 🎥➡️ burger bread2/🎥➡️ sauce and meat3/ 🎥➡️ the burguer(See.coments)",88,5
7206072070,CGFpG3mhwtO,¿Qué les han parecido las estrategias de McDonald’s de usar “celebrities” para promover la venta de sus productos? 🤨🍔❤️💛📸  @riversgraphics 👌🏼#PuroMerca 🧡,620,15
1122861479,CGEBXUul8Mw,"Tan vieja, and crushing lol... Of course I would do this, duh. I'm this gay for my #jbalvin.. always! #lego #jbalvinmeal🍔🍟🥤 #jbalvinmcdonalds .. I mean why not, big Macs are my fave already and Oreo shakes too, so win win.. goofy me lol",6,0
21232295474,CGDmlUBAboM,THE J BALVIN MEAL 🍟🥤🍔 @mcdonalds,49,27
5357368702,CGDbEzRHhPu,Este es el nuevo combo de McDonald’s en honor a J Balvin. El reguetonero es el primer latino en tener una comida de esta famosa marca con su nombre.#jbalvin  #jbalvinmcdonalds #mcdonalds,1,0
13709895636,CGCCjDIl0Ox,"So today I heard about the J BALVIN Meal and decided to try it with one of my friends! The meal comes with  A Big Mac, Mcflurry and Medium Fries I hope you guys enjoy this short vlog!Go Neutral Channel!---#jbalvin #jbalvinmeal #jbalvinmcdonalds #viral #explorepageready #explorepage #explorepage✨ #youtube #reactionvideos ,#reviews #vlogger #youtuber #subforsub  #sub4sub #fun #goodvibes #goodvibesonly",20,3
35953578217,CGB4UldBCAy,Guys check out the challenge!!#jbalvin #jbalvinmeal🍔🍟🥤 #jbalvinmcdonalds ⤵️https //bit.ly/215GKkr,13,0
